"emp_no","title","first_name","last_name","to_date","from_date","birth_date","emp_no-2"
10410,"Staff","Takahito","Gecsei","1994-10-16","1993-10-16","1965-01-19",10410
10480,"Staff","Make","Baba","1989-05-18","1988-05-18","1965-01-25",10480
14551,"Senior Staff","Richard","Sinitsyn","1993-09-16","1993-06-27","1965-01-18",14551
10762,"Senior Staff","Lech","Himler","1993-01-20","1992-01-21","1965-01-19",10762
10762,"Staff","Lech","Himler","1993-01-20","1992-01-21","1965-01-19",10762
10933,"Senior Engineer","Juyoung","Seghrouchni","1994-08-02","1993-08-02","1965-01-24",10933
11015,"Senior Staff","Jeanna","Riesenhuber","1999-03-14","1998-03-14","1965-01-24",11015
14104,"Senior Staff","Sudhanshu","Demian","1995-07-23","1994-07-23","1965-01-03",14104
14104,"Staff","Sudhanshu","Demian","1995-07-23","1994-07-23","1965-01-03",14104
17618,"Staff","Teiji","Picco","1993-09-17","1992-09-17","1965-01-12",17618
14476,"Engineer","Sastry","Marrevee","2000-09-24","1999-09-25","1965-01-19",14476
17731,"Assistant Engineer","Gennady","Roison","1990-12-06","1989-12-06","1965-01-16",17731
17731,"Engineer","Gennady","Roison","1990-12-06","1989-12-06","1965-01-16",17731
20720,"Senior Staff","Heejo","Brodie","1997-05-17","1996-12-27","1965-01-17",20720
18583,"Staff","Stafford","Honglei","1999-08-16","1998-08-16","1965-01-03",18583
19350,"Senior Staff","Satoru","Yoshizawa","1995-03-27","1994-03-27","1965-01-19",19350
19350,"Staff","Satoru","Yoshizawa","1995-03-27","1994-03-27","1965-01-19",19350
20100,"Senior Staff","Utz","Heuter","1987-06-15","1986-06-15","1965-01-18",20100
20100,"Staff","Utz","Heuter","1987-06-15","1986-06-15","1965-01-18",20100
20129,"Engineer","Rafael","Skafidas","1992-03-27","1991-03-28","1965-01-10",20129
20129,"Senior Engineer","Rafael","Skafidas","1992-03-27","1991-03-28","1965-01-10",20129
26476,"Staff","Bilhanan","Karcich","1997-02-04","1996-04-09","1965-01-19",26476
21909,"Senior Staff","Mohammed","Brizzi","1992-12-27","1991-12-28","1965-01-04",21909
21909,"Staff","Mohammed","Brizzi","1992-12-27","1991-12-28","1965-01-04",21909
22451,"Senior Staff","Jasminko","Bresenham","1988-12-15","1987-12-16","1965-01-27",22451
22451,"Staff","Jasminko","Bresenham","1988-12-15","1987-12-16","1965-01-27",22451
24421,"Senior Engineer","Dannz","Grospietsch","1991-09-01","1990-09-01","1965-01-10",24421
27620,"Engineer","Shuji","Kandlur","1991-03-02","1990-03-02","1965-01-25",27620
27620,"Senior Engineer","Shuji","Kandlur","1991-03-02","1990-03-02","1965-01-25",27620
