"to_date","emp_no","title","first_name","last_name","to_date-2","from_date","birth_date"
"9999-01-01",10095,"Staff","Hilari","Morton","1995-03-10","1994-03-10","1965-01-03"
"9999-01-01",10095,"Senior Staff","Hilari","Morton","1995-03-10","1994-03-10","1965-01-03"
"9999-01-01",10122,"Technique Leader","Ohad","Esposito","1999-08-06","1998-08-06","1965-01-19"
"9999-01-01",10291,"Staff","Dipayan","Seghrouchni","1988-03-29","1987-03-30","1965-01-23"
"9999-01-01",10291,"Senior Staff","Dipayan","Seghrouchni","1988-03-29","1987-03-30","1965-01-23"
"9999-01-01",10476,"Staff","Kokou","Iisaka","1988-09-19","1987-09-20","1965-01-01"
"9999-01-01",10476,"Senior Staff","Kokou","Iisaka","1988-09-19","1987-09-20","1965-01-01"
"9999-01-01",10663,"Technique Leader","Teunis","Noriega","1994-01-23","1993-01-23","1965-01-09"
"9999-01-01",10762,"Staff","Lech","Himler","1993-01-20","1992-01-21","1965-01-19"
"9999-01-01",10762,"Senior Staff","Lech","Himler","1993-01-20","1992-01-21","1965-01-19"
"9999-01-01",10933,"Senior Engineer","Juyoung","Seghrouchni","1994-08-02","1993-08-02","1965-01-24"
"9999-01-01",12155,"Senior Engineer","Keiichiro","Glinert","1994-09-16","1993-09-16","1965-01-21"
"9999-01-01",12155,"Engineer","Keiichiro","Glinert","1994-09-16","1993-09-16","1965-01-21"
"9999-01-01",12408,"Senior Engineer","Rasiah","Sudkamp","1996-04-17","1995-04-18","1965-01-10"
"9999-01-01",12643,"Staff","Morrie","Schurmann","1999-12-31","1998-12-31","1965-01-30"
"9999-01-01",13499,"Technique Leader","Kazuhiko","Sidou","1992-08-31","1991-09-01","1965-01-16"
"9999-01-01",14075,"Engineer","Denny","Tchuente","1992-05-29","1991-05-30","1965-01-03"
"9999-01-01",14075,"Assistant Engineer","Denny","Tchuente","1992-05-29","1991-05-30","1965-01-03"
"9999-01-01",14104,"Staff","Sudhanshu","Demian","1995-07-23","1994-07-23","1965-01-03"
"9999-01-01",14104,"Senior Staff","Sudhanshu","Demian","1995-07-23","1994-07-23","1965-01-03"
"9999-01-01",14127,"Senior Engineer","Magdalena","Cannard","1995-04-22","1994-04-22","1965-01-10"
"9999-01-01",14127,"Engineer","Magdalena","Cannard","1995-04-22","1994-04-22","1965-01-10"
"9999-01-01",14158,"Staff","Caolyn","Setiz","1991-02-06","1990-02-06","1965-01-22"
"9999-01-01",14158,"Senior Staff","Caolyn","Setiz","1991-02-06","1990-02-06","1965-01-22"
"9999-01-01",14476,"Engineer","Sastry","Marrevee","2000-09-24","1999-09-25","1965-01-19"
"9999-01-01",14907,"Staff","Nakhoon","Luga","1987-12-18","1986-12-18","1965-01-14"
"9999-01-01",14907,"Senior Staff","Nakhoon","Luga","1987-12-18","1986-12-18","1965-01-14"
"9999-01-01",15050,"Senior Engineer","Nikolaos","Kruskal","1991-12-17","1990-12-17","1965-01-18"
"9999-01-01",15050,"Engineer","Nikolaos","Kruskal","1991-12-17","1990-12-17","1965-01-18"
"9999-01-01",15058,"Staff","Bouchung","Bugrara","1991-06-18","1990-06-18","1965-01-30"
"9999-01-01",15058,"Senior Staff","Bouchung","Bugrara","1991-06-18","1990-06-18","1965-01-30"
"9999-01-01",15413,"Senior Engineer","Arvin","Rabejac","1995-01-01","1994-01-01","1965-01-17"
"9999-01-01",15413,"Engineer","Arvin","Rabejac","1995-01-01","1994-01-01","1965-01-17"
"9999-01-01",16461,"Staff","Remmert","Schahn","1987-09-06","1986-09-06","1965-01-14"
"9999-01-01",16461,"Senior Staff","Remmert","Schahn","1987-09-06","1986-09-06","1965-01-14"
"9999-01-01",16528,"Engineer","Gaurav","Swick","1997-05-07","1996-05-07","1965-01-21"
"9999-01-01",16528,"Assistant Engineer","Gaurav","Swick","1997-05-07","1996-05-07","1965-01-21"
"9999-01-01",17013,"Staff","Morris","Garigliano","1996-05-23","1995-05-24","1965-01-15"
"9999-01-01",17013,"Senior Staff","Morris","Garigliano","1996-05-23","1995-05-24","1965-01-15"
"9999-01-01",17206,"Senior Engineer","Berry","DeMori","1993-12-27","1992-12-27","1965-01-02"
"9999-01-01",17206,"Engineer","Berry","DeMori","1993-12-27","1992-12-27","1965-01-02"
"9999-01-01",17369,"Senior Engineer","Yaghout","Kenevan","1994-01-28","1993-01-28","1965-01-31"
"9999-01-01",17369,"Engineer","Yaghout","Kenevan","1994-01-28","1993-01-28","1965-01-31"
"9999-01-01",17447,"Staff","Zengping","Boreale","1999-12-16","1998-12-16","1965-01-11"
"9999-01-01",17731,"Engineer","Gennady","Roison","1990-12-06","1989-12-06","1965-01-16"
"9999-01-01",17731,"Assistant Engineer","Gennady","Roison","1990-12-06","1989-12-06","1965-01-16"
"9999-01-01",17970,"Technique Leader","Filipp","Carrere","1990-01-09","1989-01-09","1965-01-06"
"9999-01-01",17988,"Senior Engineer","Mabhin","Calkin","1990-11-30","1989-11-30","1965-01-31"
"9999-01-01",17988,"Engineer","Mabhin","Calkin","1990-11-30","1989-11-30","1965-01-31"
"9999-01-01",18021,"Senior Engineer","Adil","Matzke","1988-05-07","1987-05-08","1965-01-07"
"9999-01-01",18021,"Engineer","Adil","Matzke","1988-05-07","1987-05-08","1965-01-07"
"9999-01-01",18424,"Senior Engineer","Filipp","Rousseau","1996-06-06","1995-06-07","1965-01-19"
"9999-01-01",18424,"Engineer","Filipp","Rousseau","1996-06-06","1995-06-07","1965-01-19"
"9999-01-01",18583,"Staff","Stafford","Honglei","1999-08-16","1998-08-16","1965-01-03"
"9999-01-01",18617,"Staff","Surveyors","Crouzet","1990-04-24","1989-04-24","1965-01-21"
"9999-01-01",18617,"Senior Staff","Surveyors","Crouzet","1990-04-24","1989-04-24","1965-01-21"
"9999-01-01",18810,"Senior Engineer","Taiji","Jarecki","1992-06-26","1991-06-27","1965-01-09"
"9999-01-01",18810,"Engineer","Taiji","Jarecki","1992-06-26","1991-06-27","1965-01-09"
"9999-01-01",19236,"Senior Engineer","Elzbieta","Morris","1989-07-12","1988-07-12","1965-01-24"
"9999-01-01",19236,"Engineer","Elzbieta","Morris","1989-07-12","1988-07-12","1965-01-24"
"9999-01-01",19350,"Staff","Satoru","Yoshizawa","1995-03-27","1994-03-27","1965-01-19"
"9999-01-01",19350,"Senior Staff","Satoru","Yoshizawa","1995-03-27","1994-03-27","1965-01-19"
"9999-01-01",19803,"Senior Engineer","Ziva","Kowalchuk","1988-06-12","1987-06-13","1965-01-30"
"9999-01-01",19803,"Engineer","Ziva","Kowalchuk","1988-06-12","1987-06-13","1965-01-30"
"9999-01-01",20100,"Staff","Utz","Heuter","1987-06-15","1986-06-15","1965-01-18"
"9999-01-01",20100,"Senior Staff","Utz","Heuter","1987-06-15","1986-06-15","1965-01-18"
"9999-01-01",20128,"Senior Staff","Kazunori","Peak","2000-08-12","1999-08-13","1965-01-23"
"9999-01-01",20129,"Senior Engineer","Rafael","Skafidas","1992-03-27","1991-03-28","1965-01-10"
"9999-01-01",20129,"Engineer","Rafael","Skafidas","1992-03-27","1991-03-28","1965-01-10"
"9999-01-01",20248,"Staff","Vidar","Demri","2000-12-30","1999-12-31","1965-01-12"
"9999-01-01",20313,"Engineer","Candida","Benveniste","2000-01-20","1999-01-20","1965-01-24"
"9999-01-01",20500,"Staff","Christoph","Trystram","1994-10-15","1993-10-15","1965-01-30"
"9999-01-01",20500,"Senior Staff","Christoph","Trystram","1994-10-15","1993-10-15","1965-01-30"
"9999-01-01",20885,"Senior Engineer","Otmar","Rothenberg","1990-03-14","1989-03-14","1965-01-21"
"9999-01-01",20885,"Engineer","Otmar","Rothenberg","1990-03-14","1989-03-14","1965-01-21"
"9999-01-01",21181,"Engineer","Jianhui","Cangellaris","1992-10-05","1991-10-06","1965-01-21"
"9999-01-01",21181,"Assistant Engineer","Jianhui","Cangellaris","1992-10-05","1991-10-06","1965-01-21"
"9999-01-01",21188,"Engineer","Piyush","Danecki","2001-01-07","2000-01-08","1965-01-21"
"9999-01-01",21546,"Senior Staff","Yongmin","Lanteri","1989-02-15","1988-02-16","1965-01-01"
"9999-01-01",21843,"Senior Engineer","Karsten","Azadmanesh","1986-11-29","1985-11-29","1965-01-09"
"9999-01-01",21909,"Staff","Mohammed","Brizzi","1992-12-27","1991-12-28","1965-01-04"
"9999-01-01",21909,"Senior Staff","Mohammed","Brizzi","1992-12-27","1991-12-28","1965-01-04"
"9999-01-01",22185,"Engineer","Huai","Birch","1997-03-26","1996-03-26","1965-01-29"
"9999-01-01",22185,"Assistant Engineer","Huai","Birch","1997-03-26","1996-03-26","1965-01-29"
"9999-01-01",22415,"Senior Staff","Perla","Jumpertz","1995-08-24","1994-08-24","1965-01-20"
"9999-01-01",22451,"Staff","Jasminko","Bresenham","1988-12-15","1987-12-16","1965-01-27"
"9999-01-01",22451,"Senior Staff","Jasminko","Bresenham","1988-12-15","1987-12-16","1965-01-27"
"9999-01-01",22455,"Staff","Barry","Unno","1991-11-16","1990-11-16","1965-01-06"
"9999-01-01",22455,"Senior Staff","Barry","Unno","1991-11-16","1990-11-16","1965-01-06"
"9999-01-01",22926,"Senior Engineer","Manibrata","Genther","1989-01-14","1988-01-15","1965-01-01"
"9999-01-01",22926,"Engineer","Manibrata","Genther","1989-01-14","1988-01-15","1965-01-01"
"9999-01-01",23396,"Technique Leader","Hilari","Fairtlough","1987-12-15","1986-12-15","1965-01-02"
"9999-01-01",24080,"Technique Leader","Jaana","Perez","1997-03-11","1996-03-11","1965-01-26"
"9999-01-01",24205,"Senior Engineer","Roddy","Rubsam","1994-09-19","1993-09-19","1965-01-25"
"9999-01-01",24377,"Senior Engineer","Lubomir","Wroclawski","1994-07-25","1993-07-25","1965-01-25"
"9999-01-01",24377,"Engineer","Lubomir","Wroclawski","1994-07-25","1993-07-25","1965-01-25"
"9999-01-01",24394,"Staff","Zhonghui","Conta","1995-09-10","1994-09-10","1965-01-04"
"9999-01-01",24553,"Staff","Anwar","Passafiume","1988-01-30","1987-01-30","1965-01-12"
"9999-01-01",24553,"Senior Staff","Anwar","Passafiume","1988-01-30","1987-01-30","1965-01-12"
"9999-01-01",24571,"Senior Engineer","Cordelia","Gischer","1990-03-14","1989-03-14","1965-01-20"
"9999-01-01",24571,"Engineer","Cordelia","Gischer","1990-03-14","1989-03-14","1965-01-20"
"9999-01-01",25488,"Staff","Ingmar","Basawa","1992-11-08","1991-11-09","1965-01-19"
"9999-01-01",25488,"Senior Staff","Ingmar","Basawa","1992-11-08","1991-11-09","1965-01-19"
"9999-01-01",26629,"Senior Staff","Nevin","Rodham","1999-12-14","1998-12-14","1965-01-28"
"9999-01-01",26671,"Senior Engineer","Jiakeng","Kalorkoti","1995-12-25","1994-12-25","1965-01-21"
"9999-01-01",26671,"Engineer","Jiakeng","Kalorkoti","1995-12-25","1994-12-25","1965-01-21"
"9999-01-01",26788,"Senior Engineer","Zongyan","Dalphin","1989-04-23","1988-04-23","1965-01-25"
"9999-01-01",26788,"Engineer","Zongyan","Dalphin","1989-04-23","1988-04-23","1965-01-25"
"9999-01-01",27331,"Staff","Wanqing","Krohm","1992-01-22","1991-01-22","1965-01-19"
"9999-01-01",27331,"Senior Staff","Wanqing","Krohm","1992-01-22","1991-01-22","1965-01-19"
"9999-01-01",27378,"Senior Staff","Piyawadee","Leppanen","2000-02-25","1999-02-25","1965-01-28"
"9999-01-01",27620,"Senior Engineer","Shuji","Kandlur","1991-03-02","1990-03-02","1965-01-25"
"9999-01-01",27620,"Engineer","Shuji","Kandlur","1991-03-02","1990-03-02","1965-01-25"
"9999-01-01",27686,"Senior Staff","Manu","Rosiles","1999-03-03","1998-03-03","1965-01-28"
"9999-01-01",27699,"Engineer","Falguni","Pezzoli","1997-12-23","1996-12-23","1965-01-15"
"9999-01-01",27767,"Staff","Tooru","Veldwijk","1994-11-21","1993-11-21","1965-01-27"
"9999-01-01",27767,"Senior Staff","Tooru","Veldwijk","1994-11-21","1993-11-21","1965-01-27"
"9999-01-01",28193,"Senior Engineer","Xinglin","Mitsuhashi","1989-12-14","1988-12-14","1965-01-29"
"9999-01-01",28193,"Engineer","Xinglin","Mitsuhashi","1989-12-14","1988-12-14","1965-01-29"
"9999-01-01",28974,"Senior Engineer","Chenxi","Sundgren","1987-09-02","1986-09-02","1965-01-09"
"9999-01-01",28988,"Technique Leader","Tua","Giveon","1999-09-09","1998-09-09","1965-01-18"
"9999-01-01",29130,"Staff","Xumin","Thorensen","1999-04-26","1998-04-26","1965-01-06"
"9999-01-01",29265,"Staff","Gilbert","Calkin","1989-03-21","1988-03-21","1965-01-14"
"9999-01-01",29265,"Senior Staff","Gilbert","Calkin","1989-03-21","1988-03-21","1965-01-14"
"9999-01-01",29380,"Assistant Engineer","Satoru","Vidal","1999-05-02","1998-05-02","1965-01-30"
